ID,Words,Image URL,Twitter URL,Tags
68,何よまだ朝じゃない,http://aikatsup.com/media/images/68.jpg,https://twitter.com/_aikatsup/status/567703027797073923/photo/1,あいさつ,藤堂ユリカ
69,それが全然,http://aikatsup.com/media/images/69.jpg,https://twitter.com/_aikatsup/status/567703032553414656/photo/1,一ノ瀬かえで
70,セリフなし,http://aikatsup.com/media/images/70.jpg,https://twitter.com/_aikatsup/status/567703036957429761/photo/1,セリフなし
71,それはもうバッチリ！,http://aikatsup.com/media/images/71.jpg,https://twitter.com/_aikatsup/status/567703041487286272/photo/1,霧矢あおい
72,くぅ～,http://aikatsup.com/media/images/72.jpg,https://twitter.com/_aikatsup/status/567703046910521344/photo/1,ジョニー
73,これはいい経験でした！,http://aikatsup.com/media/images/73.jpg,https://twitter.com/_aikatsup/status/567703052304392193/photo/1,大空あかり
74,セリフなし,http://aikatsup.com/media/images/74.jpg,https://twitter.com/_aikatsup/status/567703057186557952/photo/1,セリフなし,北大路さくら
75,話は聞かせてもらいました！,http://aikatsup.com/media/images/75.jpg,https://twitter.com/_aikatsup/status/567703062173609984/photo/1,ジョニー
76,セリフなし,http://aikatsup.com/media/images/76.jpg,https://twitter.com/_aikatsup/status/567703067424874496/photo/1,セリフなし,冴草きい
77,寝坊だ・・・,http://aikatsup.com/media/images/77.jpg,https://twitter.com/_aikatsup/status/567703073024266240/photo/1,藤堂ユリカ
78,えっ　え～！？,http://aikatsup.com/media/images/78.jpg,https://twitter.com/_aikatsup/status/567703082243338240/photo/1,大空あかり
79,この穏やかさ・・・やっぱり穏やかじゃない,http://aikatsup.com/media/images/79.jpg,https://twitter.com/_aikatsup/status/567703087830155264/photo/1,霧矢あおい
80,おっはよ～,http://aikatsup.com/media/images/80.jpg,https://twitter.com/_aikatsup/status/567703091877666816/photo/1,おはよう,冴草きい
81,オケオケオッケー,http://aikatsup.com/media/images/81.jpg,https://twitter.com/_aikatsup/status/567703098710163457/photo/1,オケオケ,冴草きい
82,もちろん　オケオケオッケー！,http://aikatsup.com/media/images/82.jpg,https://twitter.com/_aikatsup/status/567703103063871488/photo/1,オケオケ,ジョニー
83,みんなで盛り上がっていこうイエ～イ,http://aikatsup.com/media/images/83.jpg,https://twitter.com/_aikatsup/status/567703108306735106/photo/1,ジョニー,冴草きい,音城セイラ
84,ねぇ聞いてる？,http://aikatsup.com/media/images/84.jpg,https://twitter.com/_aikatsup/status/567703113402822658/photo/1,ジョニー
85,照れますなぁ,http://aikatsup.com/media/images/85.jpg,https://twitter.com/_aikatsup/status/567703118482112512/photo/1,星宮いちご,霧矢あおい
86,嬢ちゃん　新しい依頼だ,http://aikatsup.com/media/images/86.jpg,https://twitter.com/_aikatsup/status/567703123922149377/photo/1,おっさん
